1	1	Kill 'Em All	1983
2	1	Ride The Lightning	1984
3	1	Master Of Puppets	1986
4	1	And Justice For All	1988
5	1	Metallica	1991
6	2	Killing Is My Business	1985
7	2	Peace Sells... But Whos Buying?	1986
8	2	So Far So Good.. So What?	1988
9	2	ラスト イン ピース	1990
10	2	Countdown To Extinction	1992
